Month,cdd_true,cdd_pred,label_true,label_pred,label_true_txt,label_pred_txt,model,error_bucket
01/02/2017,19.55999947,19.82809,2,2,Drought,Drought,CEEMDAN-CNN-LSTM,Correct
01/03/2017,18,18.036768,2,2,Drought,Drought,CEEMDAN-CNN-LSTM,Correct
01/04/2017,14.03999996,14.46566,1,1,Slight drought,Slight drought,CEEMDAN-CNN-LSTM,Correct
01/05/2017,12.43000031,12.602858,1,1,Slight drought,Slight drought,CEEMDAN-CNN-LSTM,Correct
01/06/2017,9.350000381,10.839146,0,0,Non-drought,Non-drought,CEEMDAN-CNN-LSTM,Correct
01/07/2017,9.069999695,8.764977,0,0,Non-drought,Non-drought,CEEMDAN-CNN-LSTM,Correct
01/08/2017,7.800000191,8.38007,0,0,Non-drought,Non-drought,CEEMDAN-CNN-LSTM,Correct
01/09/2017,10.42000008,10.68598,0,0,Non-drought,Non-drought,CEEMDAN-CNN-LSTM,Correct
01/10/2017,14.93000031,14.839979,1,1,Slight drought,Slight drought,CEEMDAN-CNN-LSTM,Correct
01/11/2017,21.95000076,18.659224,2,2,Drought,Drought,CEEMDAN-CNN-LSTM,Correct
01/12/2017,24.77000046,24.037949,2,2,Drought,Drought,CEEMDAN-CNN-LSTM,Correct
01/01/2018,19.76000023,19.82818,2,2,Drought,Drought,CEEMDAN-CNN-LSTM,Correct
01/02/2018,21.22999954,21.599379,2,2,Drought,Drought,CEEMDAN-CNN-LSTM,Correct
01/03/2018,17.40999985,19.300205,2,2,Drought,Drought,CEEMDAN-CNN-LSTM,Correct
01/04/2018,13.60999966,15.033195,1,1,Slight drought,Slight drought,CEEMDAN-CNN-LSTM,Correct
01/05/2018,11.73999977,13.422207,1,1,Slight drought,Slight drought,CEEMDAN-CNN-LSTM,Correct
01/06/2018,10.81999969,10.818617,0,0,Non-drought,Non-drought,CEEMDAN-CNN-LSTM,Correct
01/07/2018,8.079999924,9.54929,0,0,Non-drought,Non-drought,CEEMDAN-CNN-LSTM,Correct
01/08/2018,7.429999828,9.115864,0,0,Non-drought,Non-drought,CEEMDAN-CNN-LSTM,Correct
01/09/2018,9.270000458,10.63073,0,0,Non-drought,Non-drought,CEEMDAN-CNN-LSTM,Correct
01/10/2018,16.63999939,14.294357,2,1,Drought,Slight drought,CEEMDAN-CNN-LSTM,Under by 1
01/11/2018,18.29000092,20.146585,2,2,Drought,Drought,CEEMDAN-CNN-LSTM,Correct
01/12/2018,21.68000031,23.98975,2,2,Drought,Drought,CEEMDAN-CNN-LSTM,Correct
01/01/2019,19.87000084,19.610744,2,2,Drought,Drought,CEEMDAN-CNN-LSTM,Correct
01/02/2019,17.60000038,20.176674,2,2,Drought,Drought,CEEMDAN-CNN-LSTM,Correct
01/03/2019,17.88999939,16.731709,2,2,Drought,Drought,CEEMDAN-CNN-LSTM,Correct
01/04/2019,15.80000019,14.364238,1,1,Slight drought,Slight drought,CEEMDAN-CNN-LSTM,Correct
01/05/2019,12.53999996,11.884967,1,1,Slight drought,Slight drought,CEEMDAN-CNN-LSTM,Correct
01/06/2019,10.71000004,10.31221,0,0,Non-drought,Non-drought,CEEMDAN-CNN-LSTM,Correct
01/07/2019,8.100000381,8.85803,0,0,Non-drought,Non-drought,CEEMDAN-CNN-LSTM,Correct
01/08/2019,9.409999847,8.481945,0,0,Non-drought,Non-drought,CEEMDAN-CNN-LSTM,Correct
01/09/2019,13.35000038,10.631238,1,0,Slight drought,Non-drought,CEEMDAN-CNN-LSTM,Under by 1
01/10/2019,16.13999939,14.853171,2,1,Drought,Slight drought,CEEMDAN-CNN-LSTM,Under by 1
01/11/2019,18.61000061,19.295132,2,2,Drought,Drought,CEEMDAN-CNN-LSTM,Correct
01/12/2019,21.05999947,22.621656,2,2,Drought,Drought,CEEMDAN-CNN-LSTM,Correct
01/01/2020,17.15999985,20.249321,2,2,Drought,Drought,CEEMDAN-CNN-LSTM,Correct
01/02/2020,20.06999969,20.9338,2,2,Drought,Drought,CEEMDAN-CNN-LSTM,Correct
01/03/2020,16.63999939,17.42517,2,2,Drought,Drought,CEEMDAN-CNN-LSTM,Correct
01/04/2020,15.82999992,14.672092,1,1,Slight drought,Slight drought,CEEMDAN-CNN-LSTM,Correct
01/05/2020,12.93000031,12.442448,1,1,Slight drought,Slight drought,CEEMDAN-CNN-LSTM,Correct
01/06/2020,9.819999695,10.336541,0,0,Non-drought,Non-drought,CEEMDAN-CNN-LSTM,Correct
01/07/2020,8.590000153,8.78219,0,0,Non-drought,Non-drought,CEEMDAN-CNN-LSTM,Correct
01/08/2020,8.130000114,9.102993,0,0,Non-drought,Non-drought,CEEMDAN-CNN-LSTM,Correct
01/09/2020,10.67000008,10.3484535,0,0,Non-drought,Non-drought,CEEMDAN-CNN-LSTM,Correct
01/10/2020,17.54000092,14.442128,2,1,Drought,Slight drought,CEEMDAN-CNN-LSTM,Under by 1
01/11/2020,21.62000084,18.676758,2,2,Drought,Drought,CEEMDAN-CNN-LSTM,Correct
01/12/2020,24.35000038,23.02491,2,2,Drought,Drought,CEEMDAN-CNN-LSTM,Correct
01/01/2021,19.98999977,19.931215,2,2,Drought,Drought,CEEMDAN-CNN-LSTM,Correct
01/02/2021,19.71999931,21.046309,2,2,Drought,Drought,CEEMDAN-CNN-LSTM,Correct
01/03/2021,15.94999981,18.15921,1,2,Slight drought,Drought,CEEMDAN-CNN-LSTM,Over by 1
01/04/2021,12.27999973,15.703134,1,1,Slight drought,Slight drought,CEEMDAN-CNN-LSTM,Correct
01/05/2021,11.77999973,11.797863,1,1,Slight drought,Slight drought,CEEMDAN-CNN-LSTM,Correct
01/06/2021,9.609999657,10.708985,0,0,Non-drought,Non-drought,CEEMDAN-CNN-LSTM,Correct
01/07/2021,9.489999771,9.584158,0,0,Non-drought,Non-drought,CEEMDAN-CNN-LSTM,Correct
01/08/2021,9.100000381,8.99785,0,0,Non-drought,Non-drought,CEEMDAN-CNN-LSTM,Correct
01/09/2021,10.35999966,10.678906,0,0,Non-drought,Non-drought,CEEMDAN-CNN-LSTM,Correct
01/10/2021,14.48999977,14.0225525,1,1,Slight drought,Slight drought,CEEMDAN-CNN-LSTM,Correct
01/11/2021,19.20999908,18.694393,2,2,Drought,Drought,CEEMDAN-CNN-LSTM,Correct
01/12/2021,22.72999954,23.414871,2,2,Drought,Drought,CEEMDAN-CNN-LSTM,Correct
01/01/2022,19.12999916,20.30743,2,2,Drought,Drought,CEEMDAN-CNN-LSTM,Correct
01/02/2022,17.95999908,20.855122,2,2,Drought,Drought,CEEMDAN-CNN-LSTM,Correct
01/03/2022,20.18000031,18.379099,2,2,Drought,Drought,CEEMDAN-CNN-LSTM,Correct
01/04/2022,16.45999908,14.509562,2,1,Drought,Slight drought,CEEMDAN-CNN-LSTM,Under by 1
01/05/2022,12.02000046,12.703199,1,1,Slight drought,Slight drought,CEEMDAN-CNN-LSTM,Correct
01/06/2022,10.26000023,10.07567,0,0,Non-drought,Non-drought,CEEMDAN-CNN-LSTM,Correct
01/07/2022,9.970000267,8.397075,0,0,Non-drought,Non-drought,CEEMDAN-CNN-LSTM,Correct
01/08/2022,9.619999886,10.113916,0,0,Non-drought,Non-drought,CEEMDAN-CNN-LSTM,Correct
01/09/2022,13.23999977,11.856279,1,1,Slight drought,Slight drought,CEEMDAN-CNN-LSTM,Correct
01/10/2022,17.35000038,15.512665,2,1,Drought,Slight drought,CEEMDAN-CNN-LSTM,Under by 1
01/11/2022,18.60000038,19.622948,2,2,Drought,Drought,CEEMDAN-CNN-LSTM,Correct
01/12/2022,24.37999916,21.549961,2,2,Drought,Drought,CEEMDAN-CNN-LSTM,Correct
01/01/2023,19.70000076,20.09554,2,2,Drought,Drought,CEEMDAN-CNN-LSTM,Correct
01/02/2023,21.02000046,21.161575,2,2,Drought,Drought,CEEMDAN-CNN-LSTM,Correct
01/03/2023,21.01000023,18.049498,2,2,Drought,Drought,CEEMDAN-CNN-LSTM,Correct
01/04/2023,14.97999954,15.433102,1,1,Slight drought,Slight drought,CEEMDAN-CNN-LSTM,Correct
01/05/2023,11.13000011,12.024513,1,1,Slight drought,Slight drought,CEEMDAN-CNN-LSTM,Correct
01/06/2023,10.97999954,10.526843,0,0,Non-drought,Non-drought,CEEMDAN-CNN-LSTM,Correct
01/07/2023,9,9.228908,0,0,Non-drought,Non-drought,CEEMDAN-CNN-LSTM,Correct
01/08/2023,8.659999847,9.819942,0,0,Non-drought,Non-drought,CEEMDAN-CNN-LSTM,Correct
01/09/2023,10.68999958,10.7262745,0,0,Non-drought,Non-drought,CEEMDAN-CNN-LSTM,Correct
